"activity_code","activity","test_or_train","timeBodyAcc_mean_X","timeBodyAcc_mean_Y","timeBodyAcc_mean_Z","timeBodyAcc_std_X","timeBodyAcc_std_Y","timeBodyAcc_std_Z","timeGravityAcc_mean_X","timeGravityAcc_mean_Y","timeGravityAcc_mean_Z","timeGravityAcc_std_X","timeGravityAcc_std_Y","timeGravityAcc_std_Z","timeBodyAccJerk_mean_X","timeBodyAccJerk_mean_Y","timeBodyAccJerk_mean_Z","timeBodyAccJerk_std_X","timeBodyAccJerk_std_Y","timeBodyAccJerk_std_Z","timeBodyGyro_mean_X","timeBodyGyro_mean_Y","timeBodyGyro_mean_Z","timeBodyGyro_std_X","timeBodyGyro_std_Y","timeBodyGyro_std_Z","timeBodyGyroJerk_mean_X","timeBodyGyroJerk_mean_Y","timeBodyGyroJerk_mean_Z","timeBodyGyroJerk_std_X","timeBodyGyroJerk_std_Y","timeBodyGyroJerk_std_Z","timeBodyAccMag_mean","timeBodyAccMag_std","timeGravityAccMag_mean","timeGravityAccMag_std","timeBodyAccJerkMag_mean","timeBodyAccJerkMag_std","timeBodyGyroMag_mean","timeBodyGyroMag_std","timeBodyGyroJerkMag_mean","timeBodyGyroJerkMag_std","frequencyBodyAcc_mean_X","frequencyBodyAcc_mean_Y","frequencyBodyAcc_mean_Z","frequencyBodyAcc_std_X","frequencyBodyAcc_std_Y","frequencyBodyAcc_std_Z","frequencyBodyAcc_meanFreq_X","frequencyBodyAcc_meanFreq_Y","frequencyBodyAcc_meanFreq_Z","frequencyBodyAccJerk_mean_X","frequencyBodyAccJerk_mean_Y","frequencyBodyAccJerk_mean_Z","frequencyBodyAccJerk_std_X","frequencyBodyAccJerk_std_Y","frequencyBodyAccJerk_std_Z","frequencyBodyAccJerk_meanFreq_X","frequencyBodyAccJerk_meanFreq_Y","frequencyBodyAccJerk_meanFreq_Z","frequencyBodyGyro_mean_X","frequencyBodyGyro_mean_Y","frequencyBodyGyro_mean_Z","frequencyBodyGyro_std_X","frequencyBodyGyro_std_Y","frequencyBodyGyro_std_Z","frequencyBodyGyro_meanFreq_X","frequencyBodyGyro_meanFreq_Y","frequencyBodyGyro_meanFreq_Z","frequencyBodyAccMag_mean","frequencyBodyAccMag_std","frequencyBodyAccMag_meanFreq","frequencyBodyBodyAccJerkMag_mean","frequencyBodyBodyAccJerkMag_std","frequencyBodyBodyAccJerkMag_meanFreq","frequencyBodyBodyGyroMag_mean","frequencyBodyBodyGyroMag_std","frequencyBodyBodyGyroMag_meanFreq","frequencyBodyBodyGyroJerkMag_mean","frequencyBodyBodyGyroJerkMag_std","frequencyBodyBodyGyroJerkMag_meanFreq","angle_timeBodyAccMean_gravity","angle_timeBodyAccJerkMean_gravityMean","angle_timeBodyGyroMean_gravityMean","angle_timeBodyGyroJerkMean_gravityMean","angle_X_gravityMean","angle_Y_gravityMean","angle_Z_gravityMean"
1,"WALKING","test",0.27464686921371,-0.0168705612826008,-0.111842777699597,-0.636203283395968,-0.491796435634476,-0.649045952817742,0.688425380362903,-0.0613405159707647,0.157992051105645,-0.964799524455645,-0.9528653239375,-0.941985579022177,0.0783322837703024,0.00391219756130444,-0.00242273425205645,-0.613841627432258,-0.561927416927823,-0.787888865080645,-0.0431645662782258,-0.0639475178254032,0.0905457387818548,-0.726398533472581,-0.764381691189516,-0.678310233908468,-0.0944191301655242,-0.0424849119209677,-0.0577537719079839,-0.713451872641129,-0.833597734681452,-0.719969728214718,-0.575275205338105,-0.59869572699879,-0.575275205338105,-0.59869572699879,-0.640408985204637,-0.589609989781048,-0.651322075862359,-0.707385278171371,-0.786854362540323,-0.791127467830645,-0.622749431515524,-0.502344010189939,-0.690660419701008,-0.643071385414012,-0.519933765988306,-0.655140030302823,-0.125922672099032,0.0847277877715524,0.0476849923506169,-0.622812261351613,-0.577642616254839,-0.766450736879032,-0.640416872803024,-0.575627414960685,-0.808257883387097,0.0680391764335403,-0.15331366183625,-0.0873072771699597,-0.665853956457863,-0.772833718443548,-0.649437321059677,-0.746847813677419,-0.762736053770161,-0.720564768772177,-0.0603604456645161,-0.182617072565121,0.0220455220751815,-0.574687881680847,-0.677294533758266,0.144075435324435,-0.584960336151613,-0.598771156770564,0.182105907217863,-0.733157095114919,-0.742528003008065,-0.0330582876819153,-0.796980908981855,-0.798950239747984,0.132551315007117,0.0114372917351028,-0.000429208722278226,0.059260722377621,-0.0205499890579839,-0.497156665685484,0.108204821584677,-0.0938564779105847
1,"WALKING","train",0.271887625365416,-0.0171147289705897,-0.108866937517555,-0.577608179370252,-0.443268746976354,-0.635345688604649,0.708740262411093,0.00883865129591354,0.0678086790333337,-0.962226530595432,-0.946847115170473,-0.932997198826264,0.0787332735191272,0.00950679949848287,-0.00360797599364804,-0.595560053743883,-0.533666412892333,-0.78550848267863,-0.0266746202497961,-0.0795543777560604,0.0899447416828711,-0.711352416965905,-0.660263222669943,-0.655137704828059,-0.0982693692219086,-0.0434965621927406,-0.0513101656211664,-0.677725107274062,-0.762497382038336,-0.669842255132953,-0.517734273284103,-0.554283965685073,-0.517734273284103,-0.554283965685073,-0.615385884305954,-0.587075564298483,-0.594838075479445,-0.631627830954731,-0.723488397428222,-0.742586145021207,-0.584844087422104,-0.474373619667488,-0.691729032743067,-0.576517454980351,-0.463708079250245,-0.636610911644861,-0.187285304157855,0.0552791655429935,0.0286361146360848,-0.614010020860612,-0.568624833440678,-0.768611936353997,-0.612980327118491,-0.527394394482387,-0.801014757928222,-0.0581112528788989,-0.246288586349078,-0.143415066453776,-0.647408646209788,-0.681862242122594,-0.604195264226892,-0.733093261923165,-0.652708875048206,-0.706186287251223,-0.0482253372837683,-0.107389693555799,0.0117707824951223,-0.548228016593997,-0.629160398145269,0.0975992197234095,-0.576324699595595,-0.60467789475062,0.144027334859405,-0.659833273794454,-0.678903960489723,0.0170140154088591,-0.747080604607423,-0.755958740280587,0.0925554149440294,0.0117265230154772,0.00100412639366232,0.0196650057329772,-0.0202613084892333,-0.538140040464927,0.0438941949030995,-0.0307417922226199
2,"WALKING_UPSTAIRS","test",0.271285162208068,-0.0190264282696837,-0.10442896589087,-0.589864917500425,-0.570844127231614,-0.605234033506497,0.658703183864119,0.0532520525504034,0.113559296718535,-0.959426932356688,-0.949068553757962,-0.93469878233758,0.0821919167142251,0.00735950808718259,-0.00249170158229299,-0.614676321680488,-0.654478239550955,-0.780331383176221,-0.0544201743149469,-0.0766737793154989,0.104033386952102,-0.70002003689172,-0.730256792403397,-0.662900182292866,-0.0964087268276858,-0.0392609008577495,-0.0536304952414862,-0.756895292823779,-0.830176252016985,-0.758515634473461,-0.546791841022178,-0.59041184341966,-0.546791841022178,-0.59041184341966,-0.648862018355053,-0.638981091698089,-0.60724247183121,-0.693202529808917,-0.793337308768577,-0.815051512250531,-0.613740513109766,-0.595190018359023,-0.671381236194543,-0.58206822688344,-0.587332905698535,-0.602409139609724,-0.237169107738089,-0.00310739579490446,0.00703496698456051,-0.64766082412293,-0.673578055536645,-0.762148242193206,-0.616070439109745,-0.658041781747983,-0.797489579957537,-0.127386816396136,-0.233785235642059,-0.203064287635032,-0.654678398156263,-0.751413971420382,-0.662335088465393,-0.716431413053079,-0.722375631165605,-0.696740529785138,-0.140843217431308,-0.243258448184586,-0.0892689926718896,-0.589423781267091,-0.656774306207431,0.0670146011738853,-0.634348351231423,-0.648145877647558,0.138781064241677,-0.729159679726115,-0.723549323386412,-0.0833396059707643,-0.813006677919321,-0.831385256687898,0.13251416788121,0.00215074562250318,-0.00476815495284501,0.0581438565365456,-0.0078398680626327,-0.534520324118896,0.0249404994666667,-0.0819782040336688
2,"WALKING_UPSTAIRS","train",0.273384765809879,-0.0186166161498322,-0.109297577009637,-0.574397728502721,-0.452198982322926,-0.557240053397418,0.68550591651165,0.00687150743116496,0.0841355595267325,-0.96273791616123,-0.954072907821994,-0.935928250738117,0.0816642923762628,0.00472022699664865,-0.0103786062654529,-0.60835802658616,-0.549981416182097,-0.718143779900168,-0.037358080155219,-0.0696378726385648,0.0843622889556612,-0.688015931855452,-0.637014479161603,-0.631634054519478,-0.0905408744425219,-0.0441470946307269,-0.0545638183261323,-0.683504551434949,-0.725568231864958,-0.708938145232842,-0.504212943754427,-0.550404550863961,-0.504212943754427,-0.550404550863961,-0.604007771226011,-0.581051423483318,-0.560990294625536,-0.615755255713886,-0.713999497438024,-0.723467284714595,-0.588113486133085,-0.478469973067996,-0.616154617782787,-0.570569400891146,-0.474309666751072,-0.563756979312404,-0.256300019003169,0.00577628743073625,0.0660403341129823,-0.627096543589003,-0.579598319749366,-0.697512237387866,-0.624447834693204,-0.548668473755545,-0.737607295957875,-0.0751515559473281,-0.227031955112302,-0.122255098137912,-0.629308773208294,-0.652331771493756,-0.612536279528267,-0.709023143968313,-0.634753425595154,-0.674116178692824,-0.105504051984511,-0.141022958745182,-0.0414263622120037,-0.538211259563933,-0.629267497944828,0.0821218889327297,-0.569203525388835,-0.600687431381398,0.169187708307185,-0.646942329012367,-0.664676974821342,-0.0381931552797483,-0.723755063052628,-0.743520279256785,0.134430833584203,0.00494916177896552,-0.0178673900209692,0.0241774687871389,-0.0290869742380578,-0.508246062329916,0.0556564827364399,-0.0549589291665452
3,"WALKING_DOWNSTAIRS","test",0.274426200747619,-0.0185952881731583,-0.109274563987143,-0.519541326061905,-0.485142267087143,-0.593750027575119,0.698552233385714,-0.10512971000881,0.0580676361167071,-0.963830749261905,-0.955849105095238,-0.934077264859524,0.0801942834290476,0.00922199572188095,-0.0127431449224286,-0.519084460826191,-0.535031163825786,-0.729267958564286,-0.0335355397807381,-0.0797132449057929,0.0946216256891667,-0.671584287441905,-0.617351318517143,-0.570093339468095,-0.0941489223378571,-0.0428560572879762,-0.0582236932249048,-0.694403691738095,-0.764699383071429,-0.683846384154762,-0.485834554992762,-0.522354868965657,-0.485834554992762,-0.522354868965657,-0.56793131949945,-0.513980703589762,-0.524111537327619,-0.618917192756,-0.731229055404762,-0.760456931357143,-0.515430859732619,-0.485340595147381,-0.631504448986191,-0.522209172618095,-0.519324572337905,-0.607843587434286,-0.190305008979643,0.0507264163188095,0.106282760464196,-0.535607584674738,-0.550941008858524,-0.700598560062619,-0.5454792006505,-0.550168882841905,-0.757144233785714,-0.0495233344307381,-0.182789824648571,-0.0535542363219048,-0.613199066590262,-0.655813109488095,-0.555572559319524,-0.691905321578571,-0.601767054178571,-0.615627162119524,-0.100484932669429,-0.119695642267619,-0.085746418977381,-0.500847284220952,-0.610406521286905,0.103475141420274,-0.504731540655238,-0.530722197485167,0.136651709708595,-0.659102572645238,-0.659619491230952,-0.0312988265928881,-0.760181316190476,-0.77833022297619,0.124526968119262,0.00498057698790238,0.00454653573935714,0.0399222744194762,0.004023705954,-0.563951145071429,0.165146290230476,-0.0167377255188976
3,"WALKING_DOWNSTAIRS","train",0.275735874073022,-0.0161564624738438,-0.107253303310345,-0.603683696099797,-0.495586658812992,-0.526959067781105,0.705363023650101,-0.037804364356998,-0.0497657650944929,-0.961907622860041,-0.954844310503043,-0.93706914541785,0.0763397078004767,0.00636480461291684,-0.00250509213635903,-0.657502054905132,-0.632304606357698,-0.744594068114686,-0.013275532018499,-0.0810215992443408,0.0737832242320487,-0.737266194194726,-0.638097731712221,-0.603822758633063,-0.10384725242737,-0.0429650590820172,-0.051486446186785,-0.789161022920893,-0.805121794454361,-0.75377508083854,-0.523721247479462,-0.558018720355821,-0.523721247479462,-0.558018720355821,-0.656103936195304,-0.643108179702322,-0.580412724046846,-0.642251035226876,-0.786217390601521,-0.811148019625761,-0.627279922542799,-0.53803980843283,-0.607398636739067,-0.595719152043134,-0.507439474198529,-0.523702523875041,-0.248969316373732,-0.0307710862143144,-0.00243632579389452,-0.674263445278398,-0.646349045963387,-0.719774937099899,-0.670898366436846,-0.642464964667069,-0.768424461151217,-0.066355397200145,-0.223401738933458,-0.158316799616126,-0.71345399743641,-0.691918511086055,-0.626607738022515,-0.747078592966531,-0.613452765877049,-0.6349424492,-0.167765679952343,-0.223646348233367,-0.101911681594371,-0.56664464580289,-0.623246330789047,0.0313197600588844,-0.634433996151927,-0.657291959954057,0.175430575755416,-0.695994692578398,-0.670060415532779,-0.101725200949402,-0.807154384870548,-0.830628592588235,0.121295259325375,0.0143404036687079,0.00866718079851927,-0.0219209061740061,0.0272316869917951,-0.500824478922921,0.0954607375337728,0.0450345381645233
4,"SITTING","test",0.275951879138493,-0.0178569689710387,-0.10885702224664,-0.615552812712627,-0.4658200446278,-0.646343038648065,0.703587731688391,-0.00828345629144603,0.0207979736814868,-0.970579154215886,-0.957109695947047,-0.945824188635438,0.0731487676203564,0.00622628931784725,-0.00395858196719552,-0.619018283708554,-0.559178226179613,-0.767462391922607,-0.0582236426750468,-0.0571426732865173,0.0954390047639104,-0.71917308063279,-0.675471538315682,-0.678085806319756,-0.0845241538922607,-0.0442728528099796,-0.0561241908088187,-0.706417748657841,-0.754031293297352,-0.729324935014257,-0.550906036492464,-0.595588585890428,-0.550906036492464,-0.595588585890428,-0.627838625405295,-0.594373133543727,-0.605157526075356,-0.656878638414745,-0.735556186101833,-0.737195438974542,-0.621879861217515,-0.493847487114338,-0.685180400071894,-0.614271632610387,-0.486752943429124,-0.655407823001527,-0.20163263036389,-0.00109414519598778,0.0402367600362525,-0.640526261139308,-0.589772447368228,-0.751831777756008,-0.631200929572939,-0.555769570071813,-0.781854962260693,-0.0359417490224847,-0.233988000904481,-0.109378325048065,-0.656753239730346,-0.684315000128513,-0.648273053389002,-0.740517897081466,-0.675629714955397,-0.719900325641548,-0.107267619713238,-0.105953322213707,-0.0207908302902424,-0.582667006751731,-0.667335656252953,0.0869915244247047,-0.590338617709776,-0.602353099956232,0.170088137704073,-0.675917028693686,-0.706280513549898,0.0218068592543992,-0.739013370722811,-0.754091675127291,0.10854165627446,0.00786039439690428,0.012749730707332,0.0898104478917312,-0.0381357419130346,-0.51822088490835,0.0555114211016293,-0.00263780298535438
4,"SITTING","train",0.274570678356765,-0.017797993891224,-0.111486696312012,-0.608485687383002,-0.538963334595622,-0.657493376503421,0.608279352251944,0.00939621213763608,0.117440840636858,-0.965342917830482,-0.962766171078538,-0.946813536975894,0.0813325078233204,0.00947431590886292,-0.00349609373563375,-0.642457094112247,-0.625392400871223,-0.766208668945381,-0.0246517777629272,-0.0787305500347652,0.0836289144650855,-0.725965781984137,-0.733809307310817,-0.683762658673577,-0.100455345640824,-0.0391223526109829,-0.053797498315,-0.730375682893002,-0.799719202530793,-0.765834046951299,-0.563765985986664,-0.6268173767964,-0.563765985986664,-0.6268173767964,-0.652566894675117,-0.649284773274152,-0.639149054943352,-0.703153036266719,-0.771541623115708,-0.796497521091213,-0.637402717337512,-0.563658980115,-0.690312597237286,-0.598753946082348,-0.555791857971112,-0.6678364565514,-0.216773595521216,0.0359526093799969,0.0681556523071439,-0.666045186624386,-0.645758289600855,-0.749272458374495,-0.650513253063375,-0.629119837567496,-0.781884234633305,-0.00803784802746501,-0.17136634580839,-0.0893248975370008,-0.672965428287636,-0.735247947587403,-0.674696080607792,-0.744058411959844,-0.736154452227994,-0.717303908248911,-0.0861465312928227,-0.177675429577706,-0.0382502648194012,-0.614319775156431,-0.693544562709098,0.0817028052561182,-0.642304254818927,-0.662398166597512,0.219392267670156,-0.728173429337247,-0.739486237602255,-0.0297861326618896,-0.797000967792379,-0.811563719765941,0.173595241753002,0.00848151424601089,-0.00508143209677294,0.0132817347674495,0.00815991056988336,-0.406775267721617,0.0657600894234059,-0.0762902177097201
5,"STANDING","test",0.273355441533835,-0.0180280339118002,-0.109321670852632,-0.661551868334211,-0.54593486136485,-0.661231545599624,0.680817818778195,-0.0261851096710526,0.0968965901522556,-0.971143653176692,-0.963259490845865,-0.950974123958647,0.0798563490798872,0.0104071470807237,-0.00170442299654662,-0.692217359584774,-0.672711245338346,-0.804559687548872,-0.0336729901339286,-0.0715815765991729,0.087914731475188,-0.761101798411654,-0.716000166075564,-0.671612592012782,-0.0945299314428947,-0.0437605362904135,-0.0566054872133083,-0.794826356768797,-0.815560418528195,-0.784612363364662,-0.607643997475,-0.646147603520677,-0.607643997475,-0.646147603520677,-0.70713125569812,-0.687506224090414,-0.65168600422782,-0.710383691822707,-0.804730167990601,-0.815653308077444,-0.67318187500188,-0.588964709828947,-0.711452304859774,-0.658087749670526,-0.553698530743609,-0.662238184167293,-0.213372054159912,-0.00434269129443609,0.0314257767019568,-0.708258874208513,-0.688706549829887,-0.787677724682331,-0.703221755088346,-0.677694785026241,-0.820088474644737,-0.0772914232138722,-0.251544479624004,-0.148516072778252,-0.732164887570113,-0.742116794216861,-0.681264100953195,-0.77239255906579,-0.705500613028759,-0.699371004745301,-0.124125885487368,-0.230876151966147,-0.126796920094041,-0.647209261589662,-0.701935526552444,0.0833124536823308,-0.683674899696692,-0.694430783879323,0.156955578125945,-0.747506194566391,-0.737544377906015,-0.0657678919893609,-0.817168982404925,-0.827366636068609,0.138423166998553,0.0101435453229511,0.0158235478150188,0.0116076101759399,-0.025026569531391,-0.480716953590226,0.0842700789114098,-0.0553362646183835
5,"STANDING","train",0.273468802928311,-0.018092346328195,-0.108606481618857,-0.652328775638013,-0.553856588065095,-0.620209948976638,0.644761745866084,0.0567043099363901,0.185524173492943,-0.959997693427948,-0.942418651108515,-0.925936633187045,0.0791204436155095,0.0109175826712118,-0.0066719229215262,-0.693845895969723,-0.669529731058152,-0.758449878741346,-0.0147047363557424,-0.0843614136253566,0.0873702697101383,-0.738242942737191,-0.70633520614556,-0.692777079883333,-0.102328463713151,-0.040736672250444,-0.058090008286607,-0.747355093300437,-0.782872569620451,-0.784473309898836,-0.576612072726492,-0.623554394603857,-0.576612072726492,-0.623554394603857,-0.689866770062955,-0.674063835466557,-0.634129551389025,-0.672901606277875,-0.770682815185953,-0.773831504216914,-0.669001671017031,-0.587990214375255,-0.667070932046943,-0.647399298411063,-0.566126352753122,-0.627134847410677,-0.234301293852983,-0.00163657491215793,0.0596042243193806,-0.705567747083916,-0.684461197889665,-0.743444062356332,-0.709720452151565,-0.676479307985569,-0.772671983068996,-0.0233027493881732,-0.202925219220728,-0.127209245747962,-0.690705960663028,-0.72409630700575,-0.689407672279476,-0.754987095865357,-0.700549496388574,-0.722908394992212,-0.0867287259461063,-0.171525982994578,-0.0481558542163028,-0.625243767494614,-0.68377153799163,0.0655158847916084,-0.669459335093013,-0.682874823589665,0.187144365280932,-0.702274711620306,-0.712895052135953,-0.0369669284360633,-0.779597921418777,-0.783320748146434,0.128933582101122,0.00828807578237263,0.0193350805199054,-0.00767558054713246,0.00144680448037118,-0.490710377772198,0.0312378885879185,-0.125790608729687
6,"LAYING","test",0.274281400865922,-0.0170307032339255,-0.106612341978026,-0.638006465831844,-0.488518998958287,-0.637436570111732,0.664767144620112,0.0524663146871508,0.0755310465897393,-0.970308632197393,-0.958066186964618,-0.952218904674115,0.0774745169592179,0.0020188566548175,-0.00570389699429609,-0.695538537101676,-0.610489902245438,-0.737111884284916,-0.0216107339044507,-0.0784528043821974,0.0858738740423836,-0.740234031936685,-0.682759364671303,-0.636378818926629,-0.0982971040355866,-0.0394021356795158,-0.054506767298324,-0.732155918999814,-0.749391499221602,-0.721310061004097,-0.571343426999024,-0.612560886355121,-0.571343426999024,-0.612560886355121,-0.670350138321788,-0.646238866674916,-0.610598622594786,-0.67863335067486,-0.743127145256983,-0.749512280594413,-0.667821910255307,-0.528265652448305,-0.660535182678399,-0.627812756838026,-0.501504220563128,-0.654061622683426,-0.266312348367039,-0.00075818999217877,0.085666481380527,-0.715141747588082,-0.634895441363128,-0.722883493437616,-0.702786588553817,-0.610461094776536,-0.749915934581006,-0.08138687706946,-0.24247808510121,-0.148875511751341,-0.6810001431946,-0.687648260368343,-0.62863194283594,-0.760022273104283,-0.683403918672253,-0.673810247188082,-0.073271925920689,-0.115927470212104,-0.0525923208701304,-0.608106882977132,-0.67638258689702,0.038220442537486,-0.650746959688268,-0.643534524565568,0.174673663402235,-0.694055951773743,-0.725792092992551,0.0130346793263315,-0.755604555839851,-0.759639503402793,0.142291333083687,-0.00469389728510242,-0.00546093551044693,-0.0108986537733706,-0.0125544458351955,-0.501181806163873,0.0257416364903166,-0.0384530390995158
6,"LAYING","train",0.277641089476546,-0.0180960334680348,-0.108961379074982,-0.606014673852949,-0.557925878093468,-0.605550922626453,0.649980730746269,0.00709804413243923,0.113874103842244,-0.973385742956645,-0.961230202238806,-0.942719472686567,0.0774730991674769,0.00903989643041151,-0.00199792224031841,-0.654330887425821,-0.637877251220561,-0.778791312544421,-0.0441157820348792,-0.0644314300998571,0.096274441991521,-0.721198875195096,-0.662913504045416,-0.642868775296304,-0.0922829953007726,-0.0445977450764108,-0.0555640554937527,-0.752480138840085,-0.818878084321251,-0.759245350632551,-0.560921185066375,-0.601478504430064,-0.560921185066375,-0.601478504430064,-0.672044742344634,-0.648869815244279,-0.594029680068252,-0.656774283558067,-0.789207038923952,-0.813411099840867,-0.619629643899097,-0.571829806684151,-0.670327129249467,-0.601805779180967,-0.580176044441656,-0.605457939639758,-0.22778015996823,0.00880066113024165,0.0426804482799502,-0.66296532467221,-0.652709957612864,-0.755616688211798,-0.676987741572779,-0.647075266703412,-0.801042941279318,-0.0583804285538308,-0.20672302396676,-0.10550001263777,-0.683129670311798,-0.712143785969801,-0.652505097212011,-0.735812314602111,-0.641855752317058,-0.674138201008245,-0.125381666693582,-0.237880282423014,-0.0784677123291507,-0.602282812764819,-0.663878863890085,0.073886566558877,-0.640273982237932,-0.662496976906809,0.170381886972741,-0.714815090355814,-0.680392205669602,-0.0941478349183653,-0.814142073933902,-0.825945914401564,0.10195081441919,0.00548715186896944,0.00386305155646766,0.0207396984094527,-0.0193697100816134,-0.499560285721393,0.0679670705283511,-0.0655964918037918
